time,speed_mph,accel_x,lat,lon
0.0,3.54,1.58,34.005578,-118.247082
1.0,0.0,-2.54,34.005629,-118.246986
2.0,0.0,-1.03,34.005678,-118.246886
3.0,5.77,2.58,34.005724,-118.2468
4.0,11.87,2.73,34.00577,-118.246702
5.0,4.96,-3.09,34.005818,-118.246611
6.0,4.64,-0.15,34.005877,-118.246518
7.0,8.31,1.64,34.005919,-118.246425
8.0,10.84,1.13,34.005961,-118.246332
9.0,13.27,1.08,34.00601,-118.24624
10.0,15.24,0.88,34.006066,-118.246148
11.0,15.78,0.24,34.006117,-118.246065
12.0,18.75,1.33,34.006162,-118.245981
13.0,23.2,1.99,34.006209,-118.24589
14.0,16.58,-2.96,34.006249,-118.245791
15.0,13.28,-1.48,34.006307,-118.245693
16.0,11.29,-0.89,34.006361,-118.2456
17.0,8.63,-1.19,34.006411,-118.245508
18.0,15.43,3.04,34.006465,-118.245411
19.0,17.9,1.1,34.006512,-118.245314
20.0,12.96,-2.21,34.00657,-118.245227
21.0,10.66,-1.03,34.00662,-118.24513
22.0,17.73,3.16,34.006672,-118.245032
23.0,21.98,1.9,34.006714,-118.244932
24.0,20.37,-0.72,34.006773,-118.244849
25.0,23.71,1.49,34.006814,-118.244763
26.0,24.4,0.31,34.006867,-118.244668
27.0,26.53,0.96,34.006917,-118.244575
28.0,22.68,-1.73,34.006975,-118.244476
29.0,19.47,-1.43,34.007021,-118.244378
30.0,17.03,-1.09,34.007072,-118.244277
31.0,20.82,1.69,34.007125,-118.244183
32.0,18.19,-1.17,34.007183,-118.244084
33.0,11.32,-3.07,34.007239,-118.244002
34.0,7.52,-1.7,34.007291,-118.2439
35.0,0.46,-3.15,34.007332,-118.243808
36.0,4.79,1.94,34.007375,-118.24372
37.0,12.26,3.34,34.007423,-118.243623
38.0,4.92,-3.28,34.007476,-118.243522
39.0,9.77,2.16,34.007535,-118.24343
40.0,10.65,0.39,34.00759,-118.243342
41.0,11.61,0.43,34.007648,-118.243248
42.0,14.48,1.28,34.007696,-118.243162
43.0,11.71,-1.24,34.007756,-118.243078
44.0,5.95,-2.57,34.007812,-118.242989
45.0,8.8,1.27,34.007858,-118.242895
46.0,15.83,3.14,34.007903,-118.242812
47.0,19.59,1.68,34.007951,-118.242712
48.0,26.94,3.28,34.008002,-118.242617
49.0,23.61,-1.49,34.008059,-118.242517
50.0,29.7,2.72,34.008108,-118.242427
51.0,26.91,-1.25,34.008148,-118.242328
52.0,26.28,-0.28,34.008192,-118.242228
53.0,33.67,3.3,34.008242,-118.242127
54.0,31.43,-1.0,34.008297,-118.242041
55.0,26.16,-2.36,34.008355,-118.241946
56.0,31.52,2.4,34.0084,-118.241858
57.0,29.16,-1.06,34.008449,-118.241766
58.0,23.47,-2.54,34.008497,-118.241677
59.0,20.44,-1.35,34.00854,-118.241589
60.0,15.02,-2.42,34.008595,-118.241489
61.0,20.72,2.55,34.008653,-118.24139
62.0,20.31,-0.18,34.00871,-118.241299
63.0,14.76,-2.49,34.008756,-118.241203
64.0,10.96,-1.7,34.008815,-118.241114
65.0,10.28,-0.31,34.008863,-118.241015
66.0,15.9,2.52,34.008903,-118.240932
67.0,15.07,-0.37,34.008959,-118.240839
68.0,9.11,-2.66,34.009012,-118.240744
69.0,11.07,0.87,34.009063,-118.240658
70.0,4.44,-2.96,34.009117,-118.240566
71.0,5.57,0.5,34.009169,-118.240465
72.0,13.02,3.33,34.009213,-118.24038
73.0,6.29,-3.01,34.009258,-118.240296
74.0,4.5,-0.8,34.009318,-118.240203
75.0,1.26,-1.45,34.009377,-118.240108
76.0,1.35,0.04,34.009433,-118.24002
77.0,0.0,-0.67,34.009486,-118.239925
78.0,0.0,-0.29,34.00954,-118.23983
79.0,4.98,2.23,34.009583,-118.239735
80.0,11.74,3.02,34.009628,-118.239649
81.0,4.64,-3.17,34.009686,-118.239551
82.0,4.54,-0.05,34.00973,-118.239465
83.0,0.0,-2.66,34.009784,-118.23937
84.0,2.12,0.95,34.009829,-118.239286
85.0,0.0,-3.18,34.009878,-118.239196
86.0,0.0,-2.67,34.009919,-118.239102
87.0,0.0,-1.54,34.009969,-118.239
88.0,4.12,1.84,34.010023,-118.238913
89.0,4.36,0.11,34.010066,-118.238828
90.0,7.09,1.22,34.010119,-118.238734
91.0,4.15,-1.31,34.010175,-118.238639
92.0,0.0,-2.64,34.010222,-118.238547
93.0,3.05,1.36,34.010273,-118.238445
94.0,2.9,-0.07,34.010333,-118.238357
95.0,0.0,-1.36,34.01038,-118.238262
96.0,0.0,-1.55,34.010435,-118.238162
97.0,0.0,-1.85,34.010494,-118.238066
98.0,0.0,-2.76,34.010548,-118.237965
99.0,0.0,-3.45,34.010599,-118.237865
100.0,3.76,1.68,34.01064,-118.237773
101.0,9.84,2.72,34.010695,-118.237687
102.0,13.81,1.78,34.010752,-118.23759
103.0,18.98,2.31,34.010811,-118.237501
104.0,18.12,-0.39,34.010858,-118.237399
105.0,12.81,-2.37,34.010904,-118.237301
106.0,7.58,-2.34,34.01096,-118.237204
107.0,4.24,-1.49,34.011012,-118.237102
108.0,9.78,2.47,34.011062,-118.237016
109.0,13.45,1.64,34.011115,-118.236923
110.0,6.06,-3.3,34.011156,-118.236839
111.0,6.08,0.01,34.011206,-118.236743
112.0,2.64,-1.54,34.011264,-118.236651
113.0,1.49,-0.51,34.01131,-118.236564
114.0,0.0,-3.15,34.011355,-118.236468
115.0,0.0,-1.27,34.011413,-118.236374
116.0,0.0,-0.47,34.011453,-118.236283
117.0,4.07,1.82,34.011505,-118.236183
118.0,11.64,3.38,34.011547,-118.236094
119.0,13.51,0.84,34.011605,-118.236012
120.0,8.78,-2.11,34.011663,-118.235917
121.0,15.38,2.95,34.011713,-118.235824
122.0,20.3,2.2,34.011766,-118.23573
123.0,19.13,-0.52,34.011808,-118.23563
124.0,24.39,2.35,34.011853,-118.235547
125.0,18.5,-2.63,34.011908,-118.235459
126.0,21.93,1.53,34.01195,-118.235376
127.0,17.41,-2.02,34.012004,-118.235274
128.0,20.06,1.18,34.012048,-118.235177
129.0,17.72,-1.04,34.012101,-118.235085
130.0,16.01,-0.76,34.012146,-118.234991
131.0,22.07,2.71,34.012198,-118.234901
132.0,25.46,1.52,34.012249,-118.234802
133.0,25.64,0.08,34.012296,-118.234704
134.0,29.11,1.55,34.012338,-118.234615
135.0,26.58,-1.13,34.012387,-118.234517
136.0,20.38,-2.77,34.012437,-118.234429
137.0,18.53,-0.83,34.012479,-118.234328
138.0,12.04,-2.9,34.012522,-118.234233
139.0,8.24,-1.7,34.012577,-118.234145
140.0,7.88,-0.16,34.012623,-118.234044
141.0,13.35,2.44,34.012676,-118.233959
142.0,18.71,2.4,34.012733,-118.233858
143.0,20.06,0.61,34.012779,-118.233756
144.0,13.89,-2.76,34.012826,-118.233661
145.0,14.58,0.31,34.012871,-118.233563
146.0,7.19,-3.3,34.012925,-118.233465
147.0,11.63,1.99,34.012974,-118.23338
148.0,9.8,-0.82,34.013025,-118.233283
