time,speed_mph,accel_x,lat,lon
0.0,0.0,-2.33,34.0392,-118.211061
1.0,4.64,2.07,34.039267,-118.211016
2.0,1.07,-1.6,34.039333,-118.210965
3.0,4.37,1.48,34.0394,-118.210917
4.0,0.02,-1.95,34.039458,-118.210873
5.0,1.57,0.69,34.039527,-118.210811
6.0,1.51,-0.03,34.039592,-118.210759
7.0,0.0,-0.92,34.03965,-118.210707
8.0,0.0,-1.76,34.03972,-118.210655
9.0,0.0,-2.34,34.039792,-118.210607
10.0,0.0,-0.1,34.039853,-118.210557
11.0,0.0,-0.1,34.039917,-118.210498
12.0,4.13,1.85,34.039975,-118.210441
13.0,0.0,-3.25,34.040031,-118.210392
14.0,0.0,-0.69,34.040098,-118.210347
15.0,4.91,2.2,34.040164,-118.210299
16.0,2.95,-0.88,34.040218,-118.210248
17.0,6.78,1.71,34.040286,-118.210194
18.0,4.38,-1.07,34.040348,-118.210146
19.0,8.18,1.7,34.040418,-118.210091
20.0,4.01,-1.86,34.040484,-118.21003
21.0,0.0,-2.18,34.040542,-118.209983
22.0,2.33,1.04,34.0406,-118.209925
23.0,0.0,-3.12,34.040664,-118.209876
24.0,0.0,-1.74,34.040719,-118.209818
25.0,0.0,-1.89,34.040771,-118.209756
26.0,0.0,-2.65,34.040842,-118.209697
27.0,7.42,3.32,34.040897,-118.209651
28.0,13.22,2.59,34.04096,-118.209606
29.0,8.69,-2.03,34.04102,-118.209545
30.0,10.03,0.6,34.041084,-118.209484
31.0,16.08,2.71,34.041148,-118.209438
32.0,21.85,2.58,34.041205,-118.209385
33.0,20.84,-0.45,34.041277,-118.20933
34.0,15.62,-2.34,34.04134,-118.209275
35.0,16.55,0.42,34.041403,-118.209225
36.0,9.5,-3.15,34.041469,-118.209173
37.0,13.17,1.64,34.041522,-118.20912
38.0,7.41,-2.58,34.041576,-118.209057
39.0,7.76,0.15,34.041628,-118.209013
40.0,4.42,-1.49,34.041694,-118.208954
41.0,0.24,-1.87,34.041754,-118.2089
42.0,0.0,-3.16,34.041825,-118.208844
43.0,5.57,2.49,34.041895,-118.208788
44.0,0.2,-2.4,34.041949,-118.208734
45.0,0.0,-1.93,34.042013,-118.208687
46.0,0.0,-1.78,34.042082,-118.20863
47.0,0.86,0.39,34.042138,-118.208586
