time,speed_mph,accel_x,lat,lon
0.0,4.16,1.86,33.985688,-118.218745
1.0,0.0,-3.23,33.985708,-118.218661
2.0,0.0,-0.57,33.98573,-118.218595
3.0,5.54,2.48,33.985763,-118.218514
4.0,6.55,0.45,33.985779,-118.218447
5.0,4.47,-0.93,33.985814,-118.218374
6.0,5.3,0.37,33.985834,-118.218293
7.0,9.82,2.02,33.985861,-118.218223
8.0,8.12,-0.76,33.985885,-118.218148
9.0,12.21,1.83,33.985913,-118.218071
10.0,13.2,0.44,33.985945,-118.217988
11.0,6.48,-3.0,33.985975,-118.217917
12.0,9.78,1.47,33.986005,-118.217851
13.0,11.17,0.62,33.986028,-118.217779
14.0,11.73,0.25,33.986062,-118.217705
15.0,5.62,-2.73,33.986089,-118.217635
16.0,0.0,-3.42,33.986114,-118.217565
17.0,0.0,-0.96,33.986135,-118.21749
18.0,0.0,-0.53,33.986166,-118.217423
19.0,0.0,-0.75,33.9862,-118.217339
20.0,3.01,1.35,33.986227,-118.217269
21.0,6.28,1.46,33.986252,-118.217197
22.0,13.02,3.01,33.986274,-118.217118
23.0,16.01,1.33,33.986291,-118.217042
24.0,23.18,3.21,33.986309,-118.216958
25.0,17.46,-2.56,33.986343,-118.216891
26.0,22.1,2.07,33.986359,-118.216816
27.0,28.57,2.89,33.986386,-118.21674
28.0,31.14,1.15,33.986403,-118.216671
29.0,32.62,0.66,33.98642,-118.216606
30.0,25.6,-3.14,33.986446,-118.216537
31.0,24.64,-0.43,33.986477,-118.216468
32.0,18.55,-2.72,33.986497,-118.216386
33.0,15.91,-1.18,33.986531,-118.216313
34.0,14.65,-0.56,33.986553,-118.216238
35.0,21.41,3.02,33.986585,-118.216163
36.0,14.43,-3.12,33.986614,-118.216087
37.0,12.99,-0.64,33.986647,-118.216005
38.0,10.21,-1.24,33.986663,-118.21593
39.0,13.23,1.35,33.986681,-118.215855
40.0,8.35,-2.18,33.986715,-118.215771
41.0,11.68,1.49,33.986738,-118.215686
42.0,11.28,-0.18,33.986755,-118.215617
43.0,9.75,-0.68,33.98679,-118.215537
44.0,15.26,2.46,33.98682,-118.215472
45.0,17.05,0.8,33.986848,-118.215403
46.0,19.81,1.24,33.986867,-118.215319
47.0,20.03,0.1,33.986896,-118.215249
48.0,20.93,0.4,33.986914,-118.215165
49.0,20.42,-0.23,33.986945,-118.215098
50.0,18.09,-1.04,33.986966,-118.215029
51.0,16.34,-0.78,33.986982,-118.21495
52.0,13.11,-1.45,33.98701,-118.214868
53.0,18.73,2.52,33.987035,-118.214792
54.0,10.92,-3.49,33.987069,-118.214718
