time,speed_mph,accel_x,lat,lon
0.0,4.63,2.07,34.041342,-118.229949
1.0,5.49,0.38,34.04141,-118.229877
2.0,0.0,-3.12,34.041476,-118.229786
3.0,1.29,0.58,34.041539,-118.229706
4.0,0.0,-1.12,34.041597,-118.229634
5.0,0.0,-1.17,34.041661,-118.229551
6.0,0.0,-2.84,34.041714,-118.22947
7.0,0.0,-3.01,34.041766,-118.229382
8.0,0.34,0.15,34.041835,-118.229303
9.0,3.61,1.46,34.041891,-118.229218
10.0,0.04,-1.59,34.041954,-118.229128
11.0,0.0,-2.5,34.042008,-118.229051
12.0,0.0,-2.53,34.042061,-118.228977
13.0,0.0,-0.17,34.042111,-118.228905
14.0,0.0,-2.91,34.04217,-118.228833
15.0,6.98,3.12,34.042236,-118.228749
16.0,7.95,0.43,34.042299,-118.228677
17.0,8.47,0.23,34.042367,-118.228591
18.0,3.86,-2.06,34.042417,-118.228513
19.0,0.0,-2.02,34.042479,-118.22843
20.0,0.83,0.37,34.042531,-118.228347
21.0,8.33,3.36,34.042583,-118.228258
22.0,0.91,-3.32,34.042649,-118.228173
23.0,3.04,0.95,34.042711,-118.228089
24.0,5.6,1.14,34.042769,-118.228001
25.0,6.81,0.54,34.042837,-118.22791
26.0,2.6,-1.88,34.042887,-118.227823
27.0,1.84,-0.34,34.04295,-118.227751
28.0,0.0,-3.24,34.043002,-118.227672
29.0,0.0,-3.33,34.043059,-118.227581
30.0,2.02,0.91,34.043109,-118.22749
31.0,7.12,2.28,34.043159,-118.227417
32.0,0.83,-2.81,34.043211,-118.227329
33.0,3.67,1.27,34.043276,-118.227258
34.0,0.0,-3.07,34.043338,-118.227167
35.0,1.31,0.58,34.043397,-118.227093
36.0,0.0,-0.86,34.043451,-118.227005
37.0,2.94,1.32,34.043502,-118.22693
38.0,6.92,1.78,34.043565,-118.226841
39.0,1.55,-2.4,34.043631,-118.22677
40.0,0.0,-2.59,34.043689,-118.226682
41.0,0.0,-3.14,34.043746,-118.226611
42.0,5.27,2.36,34.04381,-118.226525
43.0,4.35,-0.41,34.043879,-118.226451
44.0,3.64,-0.31,34.043937,-118.226361
45.0,8.2,2.04,34.043988,-118.226277
46.0,14.06,2.62,34.044056,-118.226202
47.0,10.93,-1.4,34.044106,-118.226124
48.0,16.0,2.27,34.044165,-118.226038
49.0,16.95,0.42,34.044233,-118.225954
50.0,19.64,1.2,34.044283,-118.225869
51.0,16.23,-1.52,34.044349,-118.225786
52.0,11.73,-2.01,34.044419,-118.225714
53.0,11.03,-0.31,34.044487,-118.225626
54.0,11.86,0.37,34.044537,-118.22554
55.0,14.99,1.4,34.044589,-118.225469
56.0,8.0,-3.13,34.044644,-118.225387
57.0,13.72,2.56,34.044705,-118.225298
58.0,11.35,-1.06,34.044769,-118.225225
59.0,7.62,-1.67,34.044825,-118.225153
60.0,13.62,2.68,34.044881,-118.225077
61.0,16.98,1.5,34.04495,-118.224993
62.0,22.45,2.45,34.045011,-118.224907
63.0,27.73,2.36,34.045073,-118.22483
64.0,28.45,0.32,34.04513,-118.224749
65.0,24.38,-1.82,34.045189,-118.224659
66.0,30.35,2.67,34.045249,-118.224575
67.0,32.39,0.91,34.04531,-118.224494
68.0,33.55,1.3,34.04537,-118.224405
69.0,35.89,1.04,34.045425,-118.224321
70.0,33.55,2.87,34.045482,-118.224245
71.0,29.79,-1.68,34.045539,-118.224164
72.0,37.2,3.31,34.0456,-118.224073
73.0,35.36,-0.82,34.04565,-118.223998
74.0,38.65,1.47,34.045704,-118.223921
75.0,31.08,-3.39,34.045766,-118.223847
76.0,28.07,-1.35,34.045828,-118.223758
77.0,34.57,2.91,34.045889,-118.223686
78.0,31.8,-1.24,34.045958,-118.223608
79.0,29.07,-1.22,34.046017,-118.223529
80.0,32.42,1.5,34.046078,-118.223455
81.0,32.88,0.21,34.04614,-118.223377
82.0,39.79,3.09,34.046197,-118.223302
83.0,47.44,3.42,34.046253,-118.223226
84.0,33.55,-3.04,34.046305,-118.223148
85.0,33.4,-0.07,34.046357,-118.223058
86.0,25.71,-3.44,34.046423,-118.222986
87.0,23.87,-0.82,34.04649,-118.222911
88.0,23.66,-0.1,34.046555,-118.222831
89.0,23.68,0.01,34.04661,-118.222748
90.0,31.15,3.34,34.046676,-118.222676
91.0,35.87,2.11,34.046728,-118.222602
92.0,39.41,1.58,34.04678,-118.222515
93.0,33.31,-2.73,34.046834,-118.222432
94.0,26.52,-3.03,34.046888,-118.222349
95.0,31.01,2.01,34.046947,-118.222265
96.0,34.9,1.74,34.047015,-118.222185
97.0,31.57,-1.49,34.047077,-118.222103
98.0,38.41,3.05,34.047143,-118.222025
99.0,37.7,-0.31,34.047198,-118.221948
100.0,38.67,0.43,34.047256,-118.221863
101.0,43.69,2.25,34.047317,-118.221779
102.0,50.01,2.82,34.047382,-118.221691
103.0,43.86,-2.75,34.047441,-118.221615
104.0,44.8,0.42,34.047503,-118.221527
105.0,40.34,-1.99,34.047563,-118.221449
106.0,33.74,-2.95,34.047623,-118.221369
107.0,31.62,-0.95,34.04769,-118.221282
108.0,30.88,-0.33,34.047749,-118.2212
109.0,24.87,-2.68,34.047804,-118.22112
110.0,28.13,1.45,34.047863,-118.221038
111.0,35.84,3.45,34.047916,-118.220966
112.0,33.8,-0.91,34.047981,-118.220891
113.0,28.91,-2.19,34.048049,-118.220819
114.0,23.73,-2.31,34.048109,-118.220744
115.0,23.5,-0.1,34.048161,-118.220666
116.0,22.21,-0.58,34.048221,-118.220594
117.0,17.99,-1.88,34.048283,-118.220516
118.0,14.31,-1.65,34.04834,-118.220436
119.0,6.86,-3.33,34.048394,-118.22035
120.0,9.64,1.25,34.048459,-118.220261
121.0,2.77,-3.07,34.048511,-118.220182
122.0,2.97,0.09,34.048571,-118.220108
123.0,0.55,-1.08,34.048625,-118.220019
124.0,1.35,0.36,34.048685,-118.219941
125.0,6.53,2.32,34.048736,-118.219862
126.0,4.58,-0.87,34.048801,-118.219776
127.0,7.25,1.2,34.048867,-118.219702
128.0,5.35,-0.85,34.048917,-118.21963
129.0,5.25,-0.05,34.048985,-118.219554
130.0,0.0,-2.78,34.049039,-118.219476
131.0,1.91,0.85,34.04909,-118.219397
132.0,0.0,-1.9,34.049154,-118.219326
133.0,0.0,-1.06,34.04921,-118.219249
134.0,2.62,1.17,34.049265,-118.219159
135.0,0.0,-2.35,34.049324,-118.219068
136.0,0.0,-1.62,34.049391,-118.218981
137.0,0.0,-0.6,34.049456,-118.218901
138.0,0.0,-2.5,34.049508,-118.218817
139.0,1.05,0.47,34.049578,-118.218729
140.0,0.0,-0.55,34.049638,-118.218638
141.0,7.23,3.23,34.049692,-118.21855
142.0,2.41,-2.16,34.04975,-118.218464
143.0,5.76,1.5,34.049808,-118.218387
144.0,8.63,1.29,34.049866,-118.218309
145.0,1.7,-3.1,34.049924,-118.218224
146.0,5.39,1.65,34.049982,-118.218136
147.0,8.42,1.35,34.050047,-118.218059
148.0,3.5,-2.2,34.05011,-118.217984
149.0,10.76,3.25,34.05018,-118.21791
150.0,9.54,-0.55,34.050234,-118.217828
151.0,10.64,0.49,34.050295,-118.217753
152.0,16.32,2.54,34.050357,-118.217666
153.0,13.81,-1.12,34.050417,-118.217589
154.0,6.02,-3.48,34.050483,-118.21751
155.0,5.28,-0.33,34.050535,-118.217425
156.0,6.6,0.59,34.050589,-118.217352
