0.0,7.6,3.4,33.972367,-118.270143
1.0,10.86,1.46,33.97239,-118.270102
2.0,18.47,3.4,33.972426,-118.270061
3.0,18.68,0.09,33.972451,-118.27002
4.0,22.32,1.63,33.972477,-118.269985
5.0,25.09,1.24,33.972506,-118.269944
6.0,17.32,-3.47,33.972535,-118.269897
7.0,16.81,-0.23,33.972575,-118.269846
8.0,23.4,2.95,33.972601,-118.26981
9.0,21.76,-0.73,33.972639,-118.269775
10.0,27.52,2.57,33.97267,-118.269736
11.0,23.45,-1.82,33.972702,-118.269702
12.0,19.84,-1.62,33.972735,-118.269666
13.0,14.44,-2.41,33.972764,-118.269616
14.0,18.74,1.92,33.972799,-118.269577
15.0,13.13,-2.51,33.972829,-118.269529
16.0,7.71,-2.43,33.97286,-118.269486
17.0,11.48,1.69,33.972887,-118.269441
18.0,4.97,-2.91,33.972925,-118.269399
19.0,3.45,-0.68,33.972965,-118.269364
20.0,0.0,-2.48,33.972998,-118.26933
21.0,2.38,1.06,33.973023,-118.269295
22.0,0.0,-2.73,33.973055,-118.269258
23.0,0.0,-1.42,33.973088,-118.269221
24.0,0.0,-1.7,33.973123,-118.269173
25.0,0.0,-2.4,33.973165,-118.269125
26.0,5.53,2.47,33.973192,-118.269084
27.0,12.5,3.11,33.97323,-118.269038
28.0,20.17,3.43,33.973256,-118.268997
29.0,21.61,0.65,33.973285,-118.268964
30.0,25.67,1.81,33.973311,-118.268916
31.0,25.35,-0.14,33.973347,-118.268877
32.0,27.86,1.12,33.973372,-118.268826
33.0,25.35,-1.12,33.973406,-118.268784
34.0,20.53,-2.15,33.973437,-118.26875
35.0,13.74,-3.03,33.973474,-118.268706
36.0,15.12,0.62,33.973503,-118.268655
37.0,17.14,0.9,33.973539,-118.268604
38.0,21.86,2.11,33.973567,-118.268571
39.0,25.65,1.69,33.973597,-118.268523
40.0,21.32,-1.93,33.973634,-118.268477
41.0,27.87,2.93,33.973675,-118.268435
42.0,30.44,1.15,33.973703,-118.268396
43.0,33.5,1.36,33.973729,-118.268364
44.0,33.55,1.75,33.973755,-118.268331
45.0,29.17,-1.96,33.973789,-118.268287
46.0,29.16,-0.0,33.973817,-118.268254
47.0,28.27,-0.4,33.97384,-118.268209
48.0,30.24,0.88,33.97388,-118.268173
49.0,33.55,2.43,33.973909,-118.268125
50.0,34.13,0.26,33.97395,-118.26809
51.0,39.33,2.32,33.97399,-118.268048
